t,vx_des,vy_des,wz_des,vx_out,vy_out,wz_out,imu_wz,tilt_deg,rho_min,poly_violation,hold,solver,solve_ms
3.900,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24926,0.00000,0.000,nan,0,0,,
3.920,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24926,0.00000,0.000,nan,0,0,,
3.940,0.00000,0.00000,0.00000,0.00000,0.00000,-0.25000,0.00000,0.000,nan,0,0,,
3.960,0.00000,0.00000,0.00000,0.00000,0.00000,-0.25000,0.00000,0.000,nan,0,0,,
3.980,0.00000,0.00000,0.00000,0.00000,0.00000,-0.25000,0.00000,0.000,nan,0,0,,
4.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24920,0.00000,0.000,nan,0,0,,
4.020,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24920,0.00000,0.000,nan,0,0,,
4.040,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24686,0.00000,0.000,nan,0,0,,
4.060,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24686,0.00000,0.000,nan,0,0,,
4.080,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24686,0.00000,0.000,nan,0,0,,
4.100,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24300,0.00000,0.000,nan,0,0,,
4.120,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24300,0.00000,0.000,nan,0,0,,
4.140,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23765,0.00000,0.000,nan,0,0,,
4.160,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23765,0.00000,0.000,nan,0,0,,
4.180,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23765,0.00000,0.000,nan,0,0,,
4.200,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23082,0.00000,0.000,nan,0,0,,
4.220,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23082,0.00000,0.000,nan,0,0,,
4.240,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22257,0.00000,0.000,nan,0,0,,
4.260,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22257,0.00000,0.000,nan,0,0,,
4.280,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22257,0.00000,0.000,nan,0,0,,
4.300,0.00000,0.00000,0.00000,0.00000,0.00000,-0.21296,0.00000,0.000,nan,0,0,,
4.320,0.00000,0.00000,0.00000,0.00000,0.00000,-0.21296,0.00000,0.000,nan,0,0,,
4.340,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20203,0.00000,0.000,nan,0,0,,
4.360,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20203,0.00000,0.000,nan,0,0,,
4.380,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20203,0.00000,0.000,nan,0,0,,
4.400,0.00000,0.00000,0.00000,0.00000,0.00000,-0.18985,0.00000,0.000,nan,0,0,,
4.420,0.00000,0.00000,0.00000,0.00000,0.00000,-0.18985,0.00000,0.000,nan,0,0,,
4.440,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17651,0.00000,0.000,nan,0,0,,
4.460,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17651,0.00000,0.000,nan,0,0,,
4.480,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17651,0.00000,0.000,nan,0,0,,
4.500,0.00000,0.00000,0.00000,0.00000,0.00000,-0.16208,0.00000,0.000,nan,0,0,,
4.520,0.00000,0.00000,0.00000,0.00000,0.00000,-0.16208,0.00000,0.000,nan,0,0,,
4.540,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14666,0.00000,0.000,nan,0,0,,
4.560,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14666,0.00000,0.000,nan,0,0,,
4.580,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14666,0.00000,0.000,nan,0,0,,
4.600,0.00000,0.00000,0.00000,0.00000,0.00000,-0.13030,0.00000,0.000,nan,0,0,,
4.620,0.00000,0.00000,0.00000,0.00000,0.00000,-0.13030,0.00000,0.000,nan,0,0,,
4.640,0.00000,0.00000,0.00000,0.00000,0.00000,-0.11316,0.00000,0.000,nan,0,0,,
4.660,0.00000,0.00000,0.00000,0.00000,0.00000,-0.11316,0.00000,0.000,nan,0,0,,
4.680,0.00000,0.00000,0.00000,0.00000,0.00000,-0.11316,0.00000,0.000,nan,0,0,,
4.700,0.00000,0.00000,0.00000,0.00000,0.00000,-0.09532,0.00000,0.000,nan,0,0,,
4.720,0.00000,0.00000,0.00000,0.00000,0.00000,-0.09532,0.00000,0.000,nan,0,0,,
4.740,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07692,0.00000,0.000,nan,0,0,,
4.760,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07692,0.00000,0.000,nan,0,0,,
4.780,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07692,0.00000,0.000,nan,0,0,,
4.800,0.00000,0.00000,0.00000,0.00000,0.00000,-0.05798,0.00000,0.000,nan,0,0,,
4.820,0.00000,0.00000,0.00000,0.00000,0.00000,-0.05798,0.00000,0.000,nan,0,0,,
4.840,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03875,0.00000,0.000,nan,0,0,,
4.860,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03875,0.00000,0.000,nan,0,0,,
4.880,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03875,0.00000,0.000,nan,0,0,,
4.900,0.00000,0.00000,0.00000,0.00000,0.00000,-0.01924,0.00000,0.000,nan,0,0,,
4.920,0.00000,0.00000,0.00000,0.00000,0.00000,-0.01924,0.00000,0.000,nan,0,0,,
4.940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00037,0.00000,0.000,nan,0,0,,
4.960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00037,0.00000,0.000,nan,0,0,,
4.980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00037,0.00000,0.000,nan,0,0,,
5.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01999,0.00000,0.000,nan,0,0,,
5.020,0.00000,0.00000,0.00000,0.00000,0.00000,0.01999,0.00000,0.000,nan,0,0,,
5.040,0.00000,0.00000,0.00000,0.00000,0.00000,0.03948,0.00000,0.000,nan,0,0,,
5.060,0.00000,0.00000,0.00000,0.00000,0.00000,0.03948,0.00000,0.000,nan,0,0,,
5.080,0.00000,0.00000,0.00000,0.00000,0.00000,0.03948,0.00000,0.000,nan,0,0,,
5.100,0.00000,0.00000,0.00000,0.00000,0.00000,0.05873,0.00000,0.000,nan,0,0,,
5.120,0.00000,0.00000,0.00000,0.00000,0.00000,0.05873,0.00000,0.000,nan,0,0,,
5.140,0.00000,0.00000,0.00000,0.00000,0.00000,0.07762,0.00000,0.000,nan,0,0,,
5.160,0.00000,0.00000,0.00000,0.00000,0.00000,0.07762,0.00000,0.000,nan,0,0,,
5.180,0.00000,0.00000,0.00000,0.00000,0.00000,0.07762,0.00000,0.000,nan,0,0,,
5.200,0.00000,0.00000,0.00000,0.00000,0.00000,0.09602,0.00000,0.000,nan,0,0,,
5.220,0.00000,0.00000,0.00000,0.00000,0.00000,0.09602,0.00000,0.000,nan,0,0,,
5.240,0.00000,0.00000,0.00000,0.00000,0.00000,0.11384,0.00000,0.000,nan,0,0,,
